,PLAYER_NAME,GAME_DATE,RUNNING_HOT_IDX,RUNNING_HOT,OUT_NEXT_GAME,,Discrepency_Notes
0,Luka Doncic,2022-04-10T00:00:00,8,FALSE,0,,
1,Luka Doncic,2022-04-08T00:00:00,9.4,FALSE,0,,
2,Luka Doncic,2022-04-06T00:00:00,3.1,FALSE,0,,
3,Luka Doncic,2022-04-03T00:00:00,12.8,FALSE,0,,
4,Luka Doncic,2022-04-01T00:00:00,35.6,FALSE,0,,
5,Luka Doncic,2022-03-30T00:00:00,55.8,TRUE,0,,"played next game 4/1 for 36 min, 36 pts (L @ WAS)"
6,Luka Doncic,2022-03-29T00:00:00,23.5,FALSE,0,,
7,Luka Doncic,2022-03-27T00:00:00,67.6,TRUE,0,,"played next game 3/29 for 29 min, 34 pts (W vs. LAL)"
8,Luka Doncic,2022-03-25T00:00:00,55.7,TRUE,0,,"played next game 3/27 for 36 min, 32 pts (W vs. UTA)"
9,Luka Doncic,2022-03-21T00:00:00,65.8,TRUE,1,,
10,Luka Doncic,2022-03-19T00:00:00,16.5,FALSE,0,,
11,Luka Doncic,2022-03-18T00:00:00,19.5,FALSE,0,,
12,Luka Doncic,2022-03-16T00:00:00,6.3,FALSE,0,,
13,Luka Doncic,2022-03-13T00:00:00,23.1,FALSE,0,,
14,Luka Doncic,2022-03-11T00:00:00,28.2,FALSE,0,,
15,Luka Doncic,2022-03-09T00:00:00,24.3,FALSE,0,,
16,Luka Doncic,2022-03-07T00:00:00,8.5,FALSE,0,,
17,Luka Doncic,2022-03-03T00:00:00,29.8,FALSE,1,,sat out next game 3/5 with toe injury (W vs. SAC)
18,Luka Doncic,2022-03-01T00:00:00,0,FALSE,0,,
19,Luka Doncic,2022-02-27T00:00:00,0,FALSE,0,,
20,Luka Doncic,2022-02-25T00:00:00,0,FALSE,0,,
21,Luka Doncic,2022-02-17T00:00:00,0,FALSE,0,,
22,Luka Doncic,2022-02-15T00:00:00,0.1,FALSE,0,,
23,Luka Doncic,2022-02-12T00:00:00,0.1,FALSE,0,,
24,Luka Doncic,2022-02-10T00:00:00,0,FALSE,0,,
25,Luka Doncic,2022-02-08T00:00:00,0.1,FALSE,0,,
26,Luka Doncic,2022-02-06T00:00:00,1,FALSE,0,,
27,Luka Doncic,2022-02-04T00:00:00,0.1,FALSE,0,,
28,Luka Doncic,2022-02-02T00:00:00,0.4,FALSE,0,,
29,Luka Doncic,2022-01-30T00:00:00,1.2,FALSE,0,,
30,Luka Doncic,2022-01-29T00:00:00,1.7,FALSE,0,,
31,Luka Doncic,2022-01-26T00:00:00,6.4,FALSE,0,,
32,Luka Doncic,2022-01-25T00:00:00,28.4,FALSE,0,,
33,Luka Doncic,2022-01-23T00:00:00,3.5,FALSE,0,,
34,Luka Doncic,2022-01-20T00:00:00,14.3,FALSE,0,,
35,Luka Doncic,2022-01-19T00:00:00,8,FALSE,0,,
36,Luka Doncic,2022-01-17T00:00:00,7.3,FALSE,0,,
37,Luka Doncic,2022-01-15T00:00:00,65.9,TRUE,0,,"played next game 1/19 for 42 min, 41 pts (W vs. TOR)"
38,Luka Doncic,2022-01-14T00:00:00,19.6,FALSE,0,,
39,Luka Doncic,2022-01-12T00:00:00,35.6,FALSE,0,,
40,Luka Doncic,2022-01-09T00:00:00,88.8,TRUE,0,,"played next game 1/12 for 36min, 21 pts (L @ NYK)"
41,Luka Doncic,2022-01-05T00:00:00,70.9,TRUE,1,,
42,Luka Doncic,2022-01-03T00:00:00,0.8,FALSE,0,,
43,Luka Doncic,2022-01-02T00:00:00,1.7,FALSE,0,,
44,Luka Doncic,2021-12-10T00:00:00,68.6,TRUE,1,,
45,Luka Doncic,2021-12-08T00:00:00,47.8,FALSE,0,,
46,Luka Doncic,2021-12-07T00:00:00,35.7,FALSE,0,,
47,Luka Doncic,2021-12-03T00:00:00,66.6,TRUE,1,,
48,Luka Doncic,2021-12-01T00:00:00,9.5,FALSE,0,,
49,Luka Doncic,2021-11-29T00:00:00,35.9,FALSE,0,,
50,Luka Doncic,2021-11-27T00:00:00,10.9,FALSE,0,,
51,Luka Doncic,2021-11-23T00:00:00,13.2,FALSE,0,,
52,Luka Doncic,2021-11-15T00:00:00,72.6,TRUE,1,,
53,Luka Doncic,2021-11-12T00:00:00,0,FALSE,0,,
54,Luka Doncic,2021-11-10T00:00:00,0,FALSE,0,,
55,Luka Doncic,2021-11-08T00:00:00,0,FALSE,0,,
56,Luka Doncic,2021-11-06T00:00:00,0,FALSE,0,,
57,Luka Doncic,2021-11-03T00:00:00,0,FALSE,0,,
58,Luka Doncic,2021-11-02T00:00:00,0,FALSE,0,,
59,Luka Doncic,2021-10-31T00:00:00,0,FALSE,0,,
60,Luka Doncic,2021-10-29T00:00:00,0,FALSE,0,,
61,Luka Doncic,2021-10-28T00:00:00,0,FALSE,0,,
62,Luka Doncic,2021-10-26T00:00:00,0,FALSE,0,,
63,Luka Doncic,2021-10-23T00:00:00,0,FALSE,0,,
64,Luka Doncic,2021-10-21T00:00:00,0,FALSE,0,,
